 view   rotation    tilt    deltilt     mag      dmag      skew    mean resid
   1     -11.1      64.4     -0.13    1.0000   -0.0028      0.12      0.42
   2     -11.1      62.4     -0.08    1.0000   -0.0028      0.11      0.32
   3     -11.1      60.5     -0.03    0.9987   -0.0012      0.10      0.37
   4     -11.1      58.5     -0.02    0.9991   -0.0012      0.09      0.33
   5     -11.1      56.5     -0.02    0.9978   -0.0012      0.07      0.39
   6     -11.1      54.5     -0.01    0.9985   -0.0012      0.06      0.33
   7     -11.1      52.5     -0.01    0.9976    0.0008      0.05      0.35
   8     -11.1      50.5     -0.01    0.9983    0.0008      0.04      0.35
   9     -11.1      48.5     -0.02    0.9973    0.0008      0.02      0.27
  10     -11.1      46.5     -0.02    0.9974    0.0008      0.01      0.31
  11     -11.1      44.5     -0.01    0.9974    0.0008      0.00      0.29
  12     -11.2      42.5     -0.01    0.9977    0.0000     -0.01      0.33
  13     -11.2      40.5      0.00    0.9975    0.0000     -0.03      0.27
  14     -11.2      38.5      0.00    0.9979    0.0000     -0.04      0.29
  15     -11.2      36.5      0.00    0.9972    0.0000     -0.05      0.31
  16     -11.3      34.5     -0.05    0.9967    0.0000     -0.07      0.35
  17     -11.3      32.4     -0.10    0.9969    0.0000     -0.08      0.26
  18     -11.3      30.4     -0.15    0.9962    0.0000     -0.09      0.30
  19     -11.3      28.3     -0.20    0.9965    0.0000     -0.10      0.29
  20     -11.3      26.2     -0.25    0.9964    0.0000     -0.12      0.39
  21     -11.3      24.2     -0.26    0.9960    0.0000     -0.13      0.30
  22     -11.3      22.2     -0.28    0.9957    0.0000     -0.12      0.31
  23     -11.3      20.2     -0.29    0.9961    0.0000     -0.12      0.30
  24     -11.4      18.2     -0.30    0.9959    0.0000     -0.11      0.25
  25     -11.4      16.2     -0.32    0.9963    0.0000     -0.10      0.27
  26     -11.4      14.2     -0.33    0.9963    0.0000     -0.09      0.31
  27     -11.4      12.2     -0.28    0.9951    0.0015     -0.09      0.34
  28     -11.5      10.3     -0.22    0.9954    0.0015     -0.08      0.35
  29     -11.5       8.3     -0.17    0.9955    0.0015     -0.07      0.33
  30     -11.5       6.4     -0.11    0.9951    0.0015     -0.06      0.31
  31     -11.5       4.4     -0.06    0.9948    0.0015     -0.06      0.24
  32     -11.5       2.5      0.00    0.9947    0.0015     -0.06      0.28
  33     -11.6       0.5     -0.04    0.9951    0.0015     -0.06      0.32
  34     -11.5      -1.6     -0.07    0.9947    0.0015     -0.06      0.30
  35     -11.5      -3.6     -0.11    0.9947    0.0015     -0.06      0.33
  36     -11.6      -5.6     -0.15    0.9942    0.0025     -0.06      0.32
  37     -11.6      -7.7     -0.19    0.9943    0.0025     -0.06      0.28
  38     -11.6      -9.7     -0.22    0.9948    0.0025     -0.06      0.32
  39     -11.6     -11.7     -0.19    0.9946    0.0025     -0.07      0.33
  40     -11.6     -13.7     -0.15    0.9945    0.0025     -0.07      0.34
  41     -11.6     -15.6     -0.11    0.9940    0.0025     -0.07      0.31
  42     -11.6     -17.6     -0.08    0.9931    0.0025     -0.08      0.31
  43     -11.6     -19.5     -0.04    0.9927    0.0025     -0.09      0.25
  44     -11.7     -21.6     -0.05    0.9921    0.0038     -0.10      0.25
  45     -11.7     -23.6     -0.07    0.9922    0.0038     -0.11      0.26
  46     -11.6     -25.6     -0.08    0.9923    0.0038     -0.12      0.30
  47     -11.6     -27.6     -0.10    0.9924    0.0038     -0.14      0.29
  48     -11.6     -29.6     -0.11    0.9920    0.0038     -0.15      0.29
  49     -11.6     -31.6     -0.13    0.9922    0.0038     -0.16      0.29
  50     -11.7     -33.6     -0.13    0.9922    0.0038     -0.17      0.32
  51     -11.7     -35.6     -0.13    0.9929    0.0038     -0.18      0.33
  52     -11.7     -37.6     -0.13    0.9936    0.0026     -0.19      0.41
  53     -11.7     -39.6     -0.13    0.9937    0.0026     -0.19      0.29
  54     -11.7     -41.6     -0.13    0.9939    0.0026     -0.20      0.26
  55     -11.7     -43.6     -0.11    0.9941    0.0026     -0.20      0.29
  56     -11.7     -45.6     -0.08    0.9929    0.0026     -0.21      0.28
  57     -11.6     -47.6     -0.06    0.9924    0.0013     -0.22      0.42
  58     -11.6     -49.5     -0.04    0.9927    0.0013     -0.22      0.37
  59     -11.7     -51.5     -0.04    0.9930    0.0013     -0.23      0.33
  60     -11.7     -53.5     -0.03    0.9926    0.0013     -0.23      0.35
  61     -11.8     -55.5     -0.03    0.9920    0.0013     -0.24      0.36

