 view   rotation    tilt    deltilt     mag      dmag      skew    mean resid
   1     -11.9      62.5     -0.40    1.0000   -0.0012     -0.01      0.44
   2     -11.9      60.5     -0.44    1.0002   -0.0012     -0.01      0.37
   3     -12.0      58.4     -0.47    0.9994   -0.0012     -0.01      0.41
   4     -12.0      56.4     -0.44    0.9993   -0.0009     -0.01      0.42
   5     -11.9      54.5     -0.41    0.9985   -0.0009     -0.01      0.41
   6     -11.9      52.5     -0.38    0.9986   -0.0009     -0.01      0.32
   7     -11.9      50.5     -0.35    0.9986   -0.0009     -0.01      0.36
   8     -11.9      48.5     -0.38    0.9989   -0.0022      0.00      0.31
   9     -11.9      46.5     -0.40    0.9978   -0.0022      0.00      0.32
  10     -11.9      44.5     -0.43    0.9975   -0.0022      0.00      0.32
  11     -12.0      42.4     -0.45    0.9975   -0.0022      0.00      0.35
  12     -12.0      40.5     -0.39    0.9976   -0.0022      0.00      0.31
  13     -12.0      38.6     -0.33    0.9981    0.0000     -0.01      0.34
  14     -12.0      36.6     -0.27    0.9981    0.0000     -0.01      0.30
  15     -11.9      34.7     -0.22    0.9978    0.0000     -0.01      0.31
  16     -11.9      32.7     -0.16    0.9980    0.0000     -0.01      0.36
  17     -11.9      30.7     -0.17    0.9975    0.0000     -0.02      0.34
  18     -11.9      28.7     -0.18    0.9972    0.0000     -0.02      0.32
  19     -11.9      26.7     -0.18    0.9973    0.0000     -0.02      0.36
  20     -12.0      24.7     -0.19    0.9968    0.0014     -0.03      0.35
  21     -12.0      22.7     -0.20    0.9960    0.0014     -0.03      0.29
  22     -11.9      20.7     -0.16    0.9958    0.0014     -0.03      0.34
  23     -11.9      18.8     -0.11    0.9963    0.0014     -0.04      0.32
  24     -11.9      16.8     -0.07    0.9966    0.0014     -0.04      0.35
  25     -11.9      14.9     -0.02    0.9964    0.0014     -0.04      0.34
  26     -12.0      12.9      0.03    0.9960    0.0014     -0.05      0.36
  27     -11.9      11.0      0.07    0.9961    0.0014     -0.05      0.33
  28     -11.9       8.9      0.06    0.9958    0.0022     -0.05      0.31
  29     -11.9       6.9      0.05    0.9961    0.0022     -0.06      0.31
  30     -12.0       4.9      0.04    0.9961    0.0022     -0.06      0.27
  31     -11.9       2.9      0.02    0.9964    0.0022     -0.07      0.28
  32     -11.9       0.9      0.01    0.9961    0.0022     -0.09      0.31
  33     -11.9      -1.1      0.00    0.9958    0.0022     -0.11      0.30
  34     -11.9      -3.0      0.08    0.9958    0.0022     -0.13      0.25
  35     -11.9      -4.9      0.17    0.9953    0.0022     -0.15      0.32
  36     -11.9      -6.9      0.25    0.9950    0.0022     -0.17      0.29
  37     -11.9      -8.8      0.33    0.9946    0.0039     -0.19      0.30
  38     -11.9     -10.7      0.41    0.9951    0.0039     -0.21      0.30
  39     -12.0     -12.7      0.41    0.9953    0.0039     -0.23      0.32
  40     -11.9     -14.7      0.40    0.9950    0.0039     -0.25      0.29
  41     -11.9     -16.7      0.39    0.9947    0.0039     -0.27      0.36
  42     -11.9     -18.7      0.39    0.9943    0.0039     -0.27      0.34
  43     -11.9     -20.7      0.38    0.9943    0.0039     -0.28      0.31
  44     -11.9     -22.7      0.37    0.9941    0.0039     -0.28      0.32
  45     -11.9     -24.7      0.41    0.9935    0.0047     -0.28      0.30
  46     -12.0     -26.7      0.44    0.9937    0.0047     -0.29      0.33
  47     -11.9     -28.6      0.48    0.9940    0.0047     -0.29      0.27
  48     -11.9     -30.6      0.52    0.9941    0.0047     -0.29      0.33
  49     -11.9     -32.6      0.55    0.9937    0.0047     -0.29      0.31
  50     -11.9     -34.5      0.59    0.9935    0.0047     -0.30      0.32
  51     -11.9     -36.5      0.63    0.9936    0.0047     -0.30      0.37
  52     -11.9     -38.4      0.67    0.9940    0.0043     -0.31      0.35
  53     -11.9     -40.4      0.70    0.9943    0.0043     -0.33      0.36
  54     -11.9     -42.4      0.74    0.9941    0.0043     -0.34      0.37
  55     -11.9     -44.3      0.76    0.9938    0.0043     -0.35      0.36
  56     -11.9     -46.3      0.78    0.9932    0.0043     -0.37      0.43
  57     -11.9     -48.3      0.80    0.9930    0.0043     -0.38      0.31
  58     -11.9     -50.3      0.83    0.9934    0.0054     -0.40      0.33
  59     -11.9     -52.3      0.82    0.9934    0.0054     -0.41      0.36
  60     -11.9     -54.3      0.82    0.9927    0.0054     -0.42      0.45
  61     -11.9     -56.3      0.82    0.9929    0.0054     -0.44      0.38

